"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","when I finish gotham and one day at a time I'm gonna watch my babysitters a vampire and try and finish twin peaks",FALSE,0,NA,2018-06-29 07:56:11,FALSE,NA,"1012605635916124160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reminiscentsun",0,FALSE,FALSE,NA,NA
"2","yo i started twin peaks back in 2016 and still haven't finished it almost two years later....... its Dale Cooper hi… https://t.co/t3oLYfhSt3",FALSE,0,NA,2018-06-29 07:45:38,TRUE,NA,"1012602981030785024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reminiscentsun",0,FALSE,FALSE,NA,NA
"3","RT @wright80lee: @sonnetrabbit @TonyWilliams9 @saltpublishing They should read @TonyWilliams9 short story collection. It's Twin Peaks with…",FALSE,0,NA,2018-06-29 07:22:49,FALSE,NA,"1012597239330557952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TonyWilliams9",2,TRUE,FALSE,NA,NA
"4","RT @wright80lee: @sonnetrabbit @TonyWilliams9 @saltpublishing They should read @TonyWilliams9 short story collection. It's Twin Peaks with…",FALSE,0,NA,2018-06-29 07:12:43,FALSE,NA,"1012594697922056192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","saltpublishing",2,TRUE,FALSE,NA,NA
"5","@sonnetrabbit @TonyWilliams9 @saltpublishing They should read @TonyWilliams9 short story collection. It's Twin Peak… https://t.co/C6TVfKbqYb",FALSE,3,"sonnetrabbit",2018-06-29 07:07:40,TRUE,"1012574507146600449","1012593425701621760","762583312959475712","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wright80lee",2,FALSE,FALSE,NA,NA
"6","@sssutherland Twin Peaks rocks.",FALSE,0,"sssutherland",2018-06-29 00:48:13,FALSE,"1012396243836809219","1012497934540328960","49213217","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LisaKnappMusic",0,FALSE,FALSE,NA,NA
"7","@TheHimmmm That’s amazing that that you were involved in them and they’re yours too <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> . Those are my favourite m… https://t.co/8wMxsCr6U6",FALSE,2,"TheHimmmm",2018-06-28 22:38:28,TRUE,"1012463520213094400","1012465281384570881","975560429920509952","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellav261",0,FALSE,FALSE,NA,NA
"8","RT @darth_ahmad: Old Audrey from Twin Peaks piece https://t.co/aPpyZTvKOv",FALSE,0,NA,2018-06-28 22:10:00,FALSE,NA,"1012458117953703936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BBAD777",2,TRUE,FALSE,NA,NA
"9","I’m a couple of decades late but I love twin peaks",FALSE,1,NA,2018-06-28 22:06:15,FALSE,NA,"1012457172725321729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_bodurmusic",0,FALSE,FALSE,NA,NA
"10","@darth_ahmad Love this. Makes me want to rewatch twin peaks though.",FALSE,1,"darth_ahmad",2018-06-28 22:02:23,FALSE,"1012454331470229505","1012456202180194307","247538062","<a href=""https://twitterrific.com/ios"" rel=""nofollow"">Twitterrific for iOS</a>","jedmcpherson",0,FALSE,FALSE,NA,NA
"11","RT @darth_ahmad: Old Audrey from Twin Peaks piece https://t.co/aPpyZTvKOv",FALSE,0,NA,2018-06-28 21:57:35,FALSE,NA,"1012454992433725445",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElOzymandias",2,TRUE,FALSE,NA,NA
"12","Old Audrey from Twin Peaks piece https://t.co/aPpyZTvKOv",FALSE,10,NA,2018-06-28 21:54:57,FALSE,NA,"1012454331470229505",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","darth_ahmad",2,FALSE,FALSE,NA,NA
"13","i have to slap myself at times just to remember that twin peaks the return exists and david lynch visited netflix t… https://t.co/L5nYCKg8PN",FALSE,6,NA,2018-06-28 21:15:55,TRUE,NA,"1012444505394597891",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stringer",0,FALSE,FALSE,NA,NA
"14","@franck_boulegue @mfrost11 @mattzollerseitz do we think twin peaks goes this deep on visual clues??",FALSE,0,"franck_boulegue",2018-06-28 21:11:53,FALSE,"1012269666205601792","1012443493665529856","808049819684052992","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stringer",0,FALSE,FALSE,NA,NA
"15","Bobby briggs and Shelly Johnson

my one true power couple

;Twin Peaks https://t.co/H9fJ85liLp",FALSE,1,NA,2018-06-28 21:05:55,FALSE,NA,"1012441991270027272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reminiscentsun",0,FALSE,FALSE,NA,NA
"16","@ChrisGrey888 Oh dear. I don't know who Eliza Cuthbert is. However, I did watch the 1990-91 Twin Peaks for the first time last year.",FALSE,1,"ChrisGrey888",2018-06-28 20:47:06,FALSE,"1012435588417511425","1012437256722886657","978246833624571904","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GillianLazarus",0,FALSE,FALSE,NA,NA
"17","The seacret diary of laura palmer - twin peaks sold",FALSE,0,"Alldatalostbook",2018-06-28 20:33:37,FALSE,"1008758030677180417","1012433861148659712","911558743812448256","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alldatalostbook",0,FALSE,FALSE,NA,NA
"18","I know I’m super late on watching the Twin Peaks revival but I love Dougie Jones so much. Never has a character mad… https://t.co/vXYOudMjD9",FALSE,0,NA,2018-06-28 20:20:48,TRUE,NA,"1012430638597791745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helloimaimee",0,FALSE,FALSE,NA,NA
"19","RT @FunkoEurope: We have to dance for Laura! Add Leland Palmer to your #TwinPeaks collection from @hmvtweets <ed><U+00A0><U+00BD><ed><U+00B5><U+00BA> https://t.co/yENxKlcWkR http…",FALSE,0,NA,2018-06-28 20:06:04,FALSE,NA,"1012426928211595270",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salvatone",9,TRUE,FALSE,NA,NA
"20","@ian_fryer He was brilliant in Twin Peaks . Loved him as Earl McGraw, too <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,2,"ian_fryer",2018-06-28 19:58:23,FALSE,"1011740308021755904","1012424996659040257","405101548","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","galaxaure",0,FALSE,FALSE,NA,NA
"21","Featuring a band in every episode of Twin Peaks: The Return shows the massive influence The Young Ones had on David… https://t.co/6DAr6qugTn",FALSE,9,NA,2018-06-28 19:57:05,TRUE,NA,"1012424668744122368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unklerupert",1,FALSE,FALSE,NA,NA
"22","This has been like watching the weird time/sound warped bits of Twin Peaks on a 90-minute loop. Make it stop, Doctor. #ENGBEL",FALSE,1,NA,2018-06-28 19:44:29,FALSE,NA,"1012421496319414272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThatConnArtist",0,FALSE,FALSE,NA,NA
"23","RT @TwinPeaksUKFest: THE 4th GUEST TO THE 2018 TWIN PEAKS UK FESTIVAL ANNOUNCED TOMORROW AT 8PM! 

HERE IS YOUR SECOND CLUE PEAKIES!

WHO W…",FALSE,0,NA,2018-06-28 19:05:06,FALSE,NA,"1012411588064825345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FoxMulder1993",1,TRUE,FALSE,NA,NA
