"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","And yes @bellamcneill now links this to Lost and Twin Peaks fandoms
#FSN2018 #D2",FALSE,2,NA,2018-06-30 09:01:55,FALSE,NA,"1012984566766817280",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SebSvegaard",0,FALSE,FALSE,NA,NA
"2","@jctrldel I grew up in a small town near Glasgow called Hamilton, the same town where Ian Buchanan of Twin Peaks fa… https://t.co/xAlv7lhqHH",FALSE,1,"jctrldel",2018-06-30 08:07:25,TRUE,"1012969861960622080","1012970852541976577","14318264","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuciferRegrets",0,FALSE,FALSE,NA,NA
"3","RT @neil_merrick: Echoes of Twin Peaks? https://t.co/ZRvCcbZOsv",FALSE,0,NA,2018-06-30 06:15:00,FALSE,NA,"1012942559860191233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maryannehobbs",1,TRUE,FALSE,NA,NA
"4","Echoes of Twin Peaks? https://t.co/ZRvCcbZOsv",FALSE,5,NA,2018-06-30 06:13:02,FALSE,NA,"1012942066689638401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neil_merrick",1,FALSE,FALSE,NA,NA
"5","RT @DianePodcast: Was thinking how Promethea by the mighty Alan Moore and @JHWilliamsIII might resonate with the new Twin Peaks late into t…",FALSE,0,NA,2018-06-30 05:37:56,FALSE,NA,"1012933231493156870",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blythe69price",2,TRUE,FALSE,NA,NA
"6","Again, no. Twin Peaks series 2 ended in June 1991 and Series 3 wasn't broadcast until 2017. https://t.co/JbpNUKems4",FALSE,0,NA,2018-06-30 04:14:09,FALSE,NA,"1012912146429239296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","garland_briggs",0,FALSE,FALSE,NA,NA
"7","@BaireJoe Is Twin Peaks 1st?",FALSE,1,"BaireJoe",2018-06-30 01:43:33,FALSE,"1012872478895624193","1012874248925450240","2686023416","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isthisfuture",0,FALSE,FALSE,NA,NA
"8","RT @TomHuddleston_: Here on the 1-year anniversary, can we all just agree that the atom bomb sequence in part 8 of TWIN PEAKS: THE RETURN i…",FALSE,0,NA,2018-06-30 01:25:10,FALSE,NA,"1012869620666118144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alesandeI",10,TRUE,FALSE,NA,NA
"9","@_adam_17 it's the best show ever aside from twin peaks I speak only facts",FALSE,0,"_adam_17",2018-06-30 01:22:27,FALSE,"1012862369473712128","1012868939360108544","597378305","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dom_Armitage",0,FALSE,FALSE,NA,NA
"10","RT @TwinPeaksUKFest: DANA ASHBROOK TO ATTEND TWIN PEAKS UK FESTIVAL 2018! 

Dana of course played the original bad boy, BOBBY BRIGGS, and r…",FALSE,0,NA,2018-06-29 23:59:21,FALSE,NA,"1012848026279448577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaiteSanch",6,TRUE,FALSE,NA,NA
"11","@mirkobolesan Don't Look Now, Twin Peaks, Scanners. Ray Wilkins. The peak of advertising right there.",FALSE,1,"mirkobolesan",2018-06-29 23:28:43,FALSE,"1012825020161232896","1012840314032279552","80128880","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Android</a>","DanHerd",0,FALSE,FALSE,NA,NA
"12","RT @FunkoEurope: We have to dance for Laura! Add Leland Palmer to your #TwinPeaks collection from @hmvtweets <ed><U+00A0><U+00BD><ed><U+00B5><U+00BA> https://t.co/yENxKlcWkR http…",FALSE,0,NA,2018-06-29 23:09:27,FALSE,NA,"1012835467954401280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RavenBlakhPhoto",10,TRUE,FALSE,NA,NA
