"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@nineinchnails in Twin Peaks!!!",FALSE,0,"nineinchnails",2017-06-26 11:16:32,FALSE,NA,"879297320092917760","23559586","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","marksimpkins",0,FALSE,FALSE,NA,NA
"2","Ì†ΩÌ∂§ Part 8 of Twin Peaks Ì†ΩÌ∂§",FALSE,0,NA,2017-06-26 11:14:05,FALSE,NA,"879296704662708224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_bitw",0,FALSE,FALSE,NA,NA
"3","@AlexBPArt That was quite some Twin Peaks. I think it had some of my favourite moments of any Lynch output",FALSE,0,"AlexBPArt",2017-06-26 11:13:57,FALSE,"879162719521427456","879296670307110912","198873074","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisFever",0,FALSE,FALSE,NA,NA
"4","Me: There will never be a weirder episode of TV than Twin Peaks S02E22.
Twin Peaks S03E08: Hold my sphere.",FALSE,0,NA,2017-06-26 11:13:50,FALSE,NA,"879296641236381697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edknock",0,FALSE,FALSE,NA,NA
"5","&lt;3 
‚ô• DAVID BOWIE THE FACE OF REALITY ~ https://t.co/oX7Ba9PN0R #bowie #davidbowie #imanbowie... https://t.co/8EpaAl22Bl",FALSE,0,NA,2017-06-26 11:06:11,FALSE,NA,"879294714117279744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dbfaceofreality",0,FALSE,FALSE,NA,NA
"6","I liked a @YouTube video https://t.co/O3oDIMXRCt The Nine Inch Nails in Twin Peaks",FALSE,0,NA,2017-06-26 11:04:57,FALSE,NA,"879294404800000000",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","IanP1966",0,FALSE,FALSE,NA,NA
"7","RT @NME: Watch Nine Inch Nails perform 'She's Gone Away' on Twin Peaks
https://t.co/mYapCWHA2T https://t.co/MiRRmuv5Rw",FALSE,0,NA,2017-06-26 10:59:44,FALSE,NA,"879293093467627520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClaudioInnocen1",16,TRUE,FALSE,NA,NA
"8","The first 15 minutes of this twin peaks was most sane part.",FALSE,0,NA,2017-06-26 10:53:08,FALSE,NA,"879291431118098432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sortalon3ly",0,FALSE,FALSE,NA,NA
"9","@mollygos I'm 26 years behind on all of Twin Peaks s",FALSE,0,"mollygos",2017-06-26 10:52:13,FALSE,"879290481573810176","879291203086409728","18583083","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","literally_josh",0,FALSE,FALSE,NA,NA
"10","RT @GaryGreenScreen: Twin Peaks: The Return

or

2017: A Lynch Odyssey

?",FALSE,0,NA,2017-06-26 10:49:42,FALSE,NA,"879290566990868480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vvedeka",2,TRUE,FALSE,NA,NA
"11","I am several weeks behind on the new season of Twin Peaks ‚òπÔ∏è",FALSE,0,NA,2017-06-26 10:49:21,FALSE,NA,"879290481573810176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mollygos",0,FALSE,FALSE,NA,NA
